namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,26159492758
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,25663245102.1
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,13383502000
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,7699684789.66
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,4300000000
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,3749184366
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,122269476078
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,108031253633.98
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1201682654000
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1210306100331
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,39565276528
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,0
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,15991212256
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,39565276528
Kab. Aceh Barat,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,24518153287
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,620301315583
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,556994765745.25
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,312237948517
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,286112908417.74
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,215625239598
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,290779865492.64
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,1786748547
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,3099491142
Kab. Aceh Barat,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,66445386620
