namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1720373170814
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1668357371860
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,12942611000
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,15085340026
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,252926236000
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,252723801692.83
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,819235173522
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,850424837166.73
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,7377783366738
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,7425442195283
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,3559354000
Provinsi Aceh,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,4281357950.91
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3110200922987
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2537808888383
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3424104356955
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,3828989692120.6
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1736334395840
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,1608543335667.4
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,15041300000
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,15516577500
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,682174430644
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,872977477776.29
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,245289144123
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,177798471284
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,67435963704
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,862505133575
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,776189028083
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,950774053151
Provinsi Aceh,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,671221827920
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,1007039788905
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,1304607179450
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,615. Penerimaan Kembali Pemberian Pinjaman Daerah,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,615. Penerimaan Kembali Pemberian Pinjaman Daerah,Realisasi,928844469.06
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Anggaran,75000000000
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Realisasi,41237132311.11
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,25000000000
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,581115389.3
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,2960437850589
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,3757441342646
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,59595436500
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,14115719423
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,810711860000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,157788825642.32
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,900674035000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,364341228270.25
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,2146820137794
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,2035914798920
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,55708000000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5199977500
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2072564871779
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1643810541984
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,1348709586876
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,1110858537420.4
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1419978951582
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,887106308053.99
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,10025000000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,10018140000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,881696186277
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,784323906128.41
