kodepemda,kodesatker,namapemda,kodeprovinsi,kodekabkota,provinsi,kodewilayah
01.01,990078,Kab. Aceh Barat,11,1105,Provinsi Aceh,01.00
01.17,997426,Kab. Aceh Barat Daya,11,1112,Provinsi Aceh,01.00
01.02,990022,Kab. Aceh Besar,11,1106,Provinsi Aceh,01.00
01.18,997447,Kab. Aceh Jaya,11,1114,Provinsi Aceh,01.00
01.03,990061,Kab. Aceh Selatan,11,1101,Provinsi Aceh,01.00
01.04,980007,Kab. Aceh Singkil,11,1110,Provinsi Aceh,01.00
01.20,997468,Kab. Aceh Tamiang,11,1116,Provinsi Aceh,01.00
01.05,990082,Kab. Aceh Tengah,11,1104,Provinsi Aceh,01.00
01.06,990099,Kab. Aceh Tenggara,11,1102,Provinsi Aceh,01.00
01.07,990057,Kab. Aceh Timur,11,1103,Provinsi Aceh,01.00
01.08,990040,Kab. Aceh Utara,11,1108,Provinsi Aceh,01.00
01.21,987532,Kab. Bener Meriah,11,1117,Provinsi Aceh,01.00
01.09,980053,Kab. Bireuen,11,1111,Provinsi Aceh,01.00
01.16,997430,Kab. Gayo Lues,11,1113,Provinsi Aceh,01.00
01.19,997451,Kab. Nagan Raya,11,1115,Provinsi Aceh,01.00
01.10,990036,Kab. Pidie,11,1107,Provinsi Aceh,01.00
01.22,963311,Kab. Pidie Jaya,11,1118,Provinsi Aceh,01.00
01.11,993372,Kab. Simeulue,11,1109,Provinsi Aceh,01.00
01.12,990104,Kota Banda Aceh,11,1171,Provinsi Aceh,01.00
01.14,994672,Kota Langsa,11,1174,Provinsi Aceh,01.00
01.15,994686,Kota Lhokseumawe,11,1173,Provinsi Aceh,01.00
01.13,990111,Kota Sabang,11,1172,Provinsi Aceh,01.00
01.23,963327,Kota Subulussalam,11,1175,Provinsi Aceh,01.00
22.01,992342,Kab. Badung,51,5103,Provinsi Bali,22.00
22.02,992338,Kab. Bangli,51,5106,Provinsi Bali,22.00
22.03,992281,Kab. Buleleng,51,5108,Provinsi Bali,22.00
22.04,992317,Kab. Gianyar,51,5104,Provinsi Bali,22.00
22.05,992295,Kab. Jembrana,51,5101,Provinsi Bali,22.00
22.06,992321,Kab. Karangasem,51,5107,Provinsi Bali,22.00
22.07,992300,Kab. Klungkung,51,5105,Provinsi Bali,22.00
22.08,992359,Kab. Tabanan,51,5102,Provinsi Bali,22.00
22.09,992363,Kota Denpasar,51,5171,Provinsi Bali,22.00
29.01,990629,Kab. Bangka,19,1901,Provinsi Bangka Belitung,29.00
29.06,998168,Kab. Bangka Barat,19,1905,Provinsi Bangka Belitung,29.00
29.04,998189,Kab. Bangka Selatan,19,1903,Provinsi Bangka Belitung,29.00
29.05,998172,Kab. Bangka Tengah,19,1904,Provinsi Bangka Belitung,29.00
29.02,990612,Kab. Belitung,19,1902,Provinsi Bangka Belitung,29.00
29.07,998193,Kab. Belitung Timur,19,1906,Provinsi Bangka Belitung,29.00
29.03,990701,Kota Pangkal Pinang,19,1971,Provinsi Bangka Belitung,29.00
28.01,990917,Kab. Lebak,36,3602,Provinsi Banten,28.00
28.02,990900,Kab. Pandeglang,36,3601,Provinsi Banten,28.00
28.03,990895,Kab. Serang,36,3604,Provinsi Banten,28.00
28.04,990921,Kab. Tangerang,36,3603,Provinsi Banten,28.00
28.05,980049,Kota Cilegon,36,3672,Provinsi Banten,28.00
28.07,975461,Kota Serang,36,3673,Provinsi Banten,28.00
28.06,991134,Kota Tangerang,36,3671,Provinsi Banten,28.00
28.08,978454,Kota Tangerang Selatan,36,3674,Provinsi Banten,28.00
07.01,990739,Kab. Bengkulu Selatan,17,1701,Provinsi Bengkulu,07.00
07.10,977710,Kab. Bengkulu Tengah,17,1709,Provinsi Bengkulu,07.00
07.02,990722,Kab. Bengkulu Utara,17,1703,Provinsi Bengkulu,07.00
07.05,998215,Kab. Kaur,17,1704,Provinsi Bengkulu,07.00
07.09,987617,Kab. Kepahiang,17,1708,Provinsi Bengkulu,07.00
07.08,987600,Kab. Lebong,17,1707,Provinsi Bengkulu,07.00
07.07,998503,Kab. Mukomuko,17,1706,Provinsi Bengkulu,07.00
07.03,990743,Kab. Rejang Lebong,17,1702,Provinsi Bengkulu,07.00
07.06,998201,Kab. Seluma,17,1705,Provinsi Bengkulu,07.00
07.04,990750,Kota Bengkulu,17,1771,Provinsi Bengkulu,07.00
12.01,991511,Kab. Bantul,34,3402,Provinsi DI Yogyakarta,12.00
12.02,991532,Kab. Gunung Kidul,34,3403,Provinsi DI Yogyakarta,12.00
12.03,991549,Kab. Kulon Progo,34,3401,Provinsi DI Yogyakarta,12.00
12.04,991528,Kab. Sleman,34,3404,Provinsi DI Yogyakarta,12.00
12.05,991553,Kota Yogyakarta,34,3471,Provinsi DI Yogyakarta,12.00
30.01,980302,Kab. Boalemo,75,7502,Provinsi Gorontalo,30.00
30.05,998278,Kab. Bone Bolango,75,7503,Provinsi Gorontalo,30.00
30.02,993038,Kab. Gorontalo,75,7501,Provinsi Gorontalo,30.00
30.06,963421,Kab. Gorontalo Utara,75,7505,Provinsi Gorontalo,30.00
30.04,998261,Kab. Pohuwato,75,7504,Provinsi Gorontalo,30.00
30.03,993084,Kota Gorontalo,75,7571,Provinsi Gorontalo,30.00
05.01,990544,Kab. Batanghari,15,1504,Provinsi Jambi,05.00
05.02,990565,Kab. Bungo,15,1508,Provinsi Jambi,05.00
05.03,990586,Kab. Kerinci,15,1501,Provinsi Jambi,05.00
